"козёл","male-goat, billy-goat; Asshole"
"опи́сывать","describe, depict, portray, inventory, distrain, circumscribe"
"зако́нный","legal"
"ука́з","decree, edict, ukase"
"спря́таться","to hide oneself"
"улови́ть","to catch on; to pick up"
"фи́нский","Finnish"
"огра́да","fence"
"ступе́нь","step; stage"
"зло́ба","spite/malice; anger/bitterness"
"скамья́","bench"
"смесь","mixture, blend, medley"
"ве́дать","know (archaic or poetic); govern, manage, control (literary)"
"неплохо́й","not bad, quite good"
"управля́ть","control; operate, run; govern"
"кран","tap / faucet, stop-cock; crane"
"пожа́рный","fire, related to fire"
"погла́дить","to iron, to press; to stroke, to caress, to pet"
"смерте́льный","lethal, fatal, mortal, deadly"
"лени́во","lazily, idly"
"откры́то","open, opened, openly, plainly"
"ежедне́вно","Daily, every day, on a daily basis"
"успе́шно","successfully, well"
"жи́дкий","liquid, fluid; thin (watery, weak); sparse, scanty"
"успока́ивать","calm, quiet, soothe, assuage, appease, reassure"
"суета́","bustle, bustling; fuss; vanity"
"зре́лище","spectacle, show, performance, pageant, street theatre"
"возмути́ться","be outraged"
"обши́рный","extensive or vast"
"уче́бник","textbook, manual, primer"
"пови́снуть","hang"
"потихо́ньку","quickly slowly and secretly (adv), little by little, gradually."
"противоре́чие","contradiction"
"вы́стрелить","shoot, fire"
"ресни́ца","eyelash"
"изумле́ние","amazement, wonder, consternation"
"по́лно","fully; brim-full, full to the brim"
"при́стально","carefully, intently, fixedly"
"крути́ть","twist, twirl, roll up, turn, whirl, have on a string, go out, have an affair"
"башка́","noggin, head"
"свяще́нник","priest, clergyman (linh mục)"
"серде́чный","heart"
"переспроси́ть","to ask again, question"
"подтвержда́ть","confirm, corroborate"
"побе́г","escape, flight; sprout, shoot, sucker, set, graft"
"приве́тствовать","To greet; To meet"
"опира́ться","lean, rest, be guided"
"дуб","oak"
"бу́рный","stormy"
"сжима́ть","squeeze; compress; crush"
"протяже́ние","span, length, duration, extent, throughout, course, stretch"
"подмигну́ть","wink, give a wink"
"шту́рман","navigator, mate"
"по́хороны","funeral"
"плева́ть","spit, expectorate; don’t care, shrug off"
"нало́говый","tax"
"ха́та","hut (home - slang)"
"мра́чно","grim, dark, bleak"
"сбо́ку","from one side, on one side, at the side"
"нема́лый","sizeable, considerable"
"занести́","to bring to someone in passing; to bring in or to; to cover"
"мм",""
"кро́хотный","very small or tiny"
"фило́соф","philosopher"
"со́нный","sleepy, sleep, drowsy, slumberous, sleeping, soporific"
"забо́титься","take care"
"двадца́тый","twentieth"
"шепну́ть","whisper"
"невозмо́жный","impossible, insufferable, the impossible, impossible thing"
"уцеле́ть","to survive/be preserved intact"
"помере́ть","die"
"та́ять","melt"
"поди́","I should not wonder, I dare say, just try; go! leave!"
"расположе́ние","disposition toward; location layout or arrangement"
"разработа́ть","to develop or design"
"мо́дный","fashionable, stylish"
"отбро́сить","to cast off throw off cast away, hurl back, throw back, thrust back, give up, reject, discard; throw to the side"
"швырну́ть","fling, hurl, toss"
"приро́дный","natural"
"ребяти́шки","children, kids, the chicks"
"пле́нный","captive; prisoner"
"эпизо́д","episode"
"официа́льно","officially"
"упусти́ть","to miss (a chance), overlook; let go, let slip"
"прижима́ть","to press/squeeze to"
"зна́мя","banner"
"расста́вить","arrange, place, move apart, let out"
"яд","poison, toxin, toxic substance, venom"
"сук","bough, knot"
"су́хо","dryly"
"поло́ска","(diminutive) полоса"
"зарубе́жный","foreign and abroad"
"сохраня́ть","to keep; to preserve, to conserve; to save (computing)"
"обма́н","deception; deceit, fraud; trick"
"стона́ть","moan, groan, suffer, languish"
"вооруже́ние","arming, armament, arms, equipment, requisites"
"капу́ста","cabbage"
"бере́чь","to protect/take care; save"
"звене́ть","ring, clink, jingle"
"аппети́т","appetite, relish"
"нуль","nought"
"группиро́вка","grouping, classification, group, alignment, force, gang; constellation"
"проигра́ть","to lose, be defeated"
"партиза́н","partisan, guerilla"
"дуть","blow; blow glass (transitive) (выдуть); do something with passion; drink alot of something (выдуть)"
"зака́т","sunset"
"тропи́нка","path, small path (for pedestrians)"
"вести́сь","to be carried out; to be in progress, to be underway; to give in, to yield, to succumb"
"реве́ть","to roar (as animals do)"
"справедли́вый","fair (adj)"
"самостоя́тельный","independent, self-sufficient, self-dependent"
"де́ться","(colloquial) to disappear, to vanish, to get lost; (colloquial) to hide, to escape, to get away"
"чепуха́","nonsense"
"исто́рик","historian"
"хозя́йственный","economic (relating to the economy); household; thrifty, economical; practical (streetsmart)"
"удовлетворе́ние","satisfaction, contentment"
"презри́тельный","contemptuous (adj)"
"разнообра́зный","diverse; various"
"дерьмо́","shit, crap; shithead"
"специа́льность","specialty/profession/industry"
"каблу́к","heel"
"япо́нец","Japanese, the Japanese"
"фрукт","fruit"
"че́ртовый","devilish, hellish, darn"
"равноду́шно","with indifference, indifferently"
"инициати́ва","initiative"
"опуска́ться","fall/go down; omitted"
"бу́ркнуть","to mumble, bark out"
"забира́ть","take away, to seize, to collect, to take possession of; pick someone up and take away"
"го́рько","bitterly"
"сцена́рий","script, screenplay; scenario"
"целико́м","wholly, entirely, in full; completely, totally"
"ми́лость","mercy"
"вселе́нная","universe"
"пусты́нный","desert, uninhabited, deserted"
"пу́стынный","deserted, uninhabited"
"досту́пный","available; accessible"
"нра́вственный","moral (adj)"
"поручи́ть","to assign, to instruct"
"купа́ться","to bathe, go swimming"
"крупне́йший","largest, biggest, greatest; most significant, major, supreme"
"привлека́ть","to attract, to draw (arouse interest)"
"сочиня́ть","write or compose (poems etc)"
"своди́ть","to lead, to take; reduce; to remove; to trace (a picture); сводить лицо"
"беспла́тно","free of charge, gratis"
"моли́ться","pray"
"официа́нт","waiter"
"голо́вка","leadership, heads, big shots, head, vamp; little head"
"продаве́ц","seller, vendor, salesman, shop assistant, cashier"
"гита́ра","guitar"
"тро́йка","troika / trio, alliance of three, three people working together, three-piece-suit; number three; grade of three; three (in card games)"
"напи́ться","to get drunk"
"незави́симый","independent"
"доса́да","annoyance"
"увести́","take away, lead away, walk off, withdraw, carry off, lift"
"просто́р","spaciousness, space, scope, vastness, elbow-room"
"театра́льный","theater adj"
"вы́ключить","turn off, switch off, cut off, exclude"
"та́нковый","tank, armoured"
"би́тва","battle"
"ми́рно","peacefully, in harmony"
"добива́ться","to achieve; to get"
"вздра́гивать","Flinch"
"утвержде́ние","claim statement or assertion"
"стратеги́ческий","strategic"
"выделя́ться","to stand out/ to  be outstanding; allocate; stick out; to release"
"оча́г","hearth, home, hotbed, seat, breeding ground, nidus"
"энерги́чный","energetic"
"обходи́ть","go around, travel around, get around; evade, circumvent"
"не́рвно","nervously"
"применя́ться","(be) employed, applied, used"
"копы́то","hoof"
"чистота́","cleanness"
"информацио́нный","informational"
"бульва́р","avenue, boulevard"
"ора́нжевый","orange"
"интеллиге́нт","intellectual"
"мета́ться","rush about, toss; flounce"
"утра́тить","lose"
"драко́н","dragon"
"матёрый","hardened, inveterate"
"мэр","mayor"
"пило́т","pilot"
"поднести́","to raise up; to hold up"
"за́говор","conspiracy, plot, charm, exorcism"
"за́говор","plot, conspiracy, charm, exorcism"
"кол","stake, picket, one; cola, coke, Coca Cola"
"шлем","helmet"
"сложённый","well-built, well-proportioned"
"оку́рок","cigarette-end, cigarette-butt, cigar-butt"
"кры́са","rat"
"вой","howl howling"
"госпожа́","lady, Miss, Madame, Mademoiselle, Signora, Signorina, Frau, Fraulein, mistress"
"повора́чивать","turn, swing, change"
"объясня́ться","explain, be explained, be accounted for, have a talk, have it out, speak"
"приоткры́ть","to open slightly, to set ajar"
"пропуска́ть","miss (out); let pass, let go past, make way, let through, let in; skip, omit, leave out"
"здорове́нный","brawny very strong big robust muscular huge enormous"
"отте́нок","shade, tint, nuance"
"обречённый","doomed, bound"
"прави́тель","ruler, leader; director, manager"
"весло́","oar, scull, paddle"
"уника́льный","unique"
"кишка́","intestine/guts, hose"
"бу́ря","tempest, gale, storm"
"прокурату́ра","Office of Public Prosecutor"
"сни́мок","photo, image, scan"
"арме́йский","army"
"реаги́ровать","react, respond"
"удержа́ть","to hold (keep from falling); to restrain a movement (hold back)"
"пробежа́ть","pass, run by, run through, run along, run, cover, skim, scan, run about, miss with all running about"
"негодя́й","scoundrel, villain"
"про́за","prose"
"терпе́ние","patience, endurance, forbearance, perseverance"
"предназна́чить","to be meant for"
"отча́янно","desperately, awfully"
"призыва́ть","call upon"
"ни́зко","low, basely, meanly, despicably"
"схвати́ться","to grab/grasp at (за кого-что); to engage in a battle; (colloquial)suddenly remember or to come to senses; (simple) Get up and jump up with a quick movement; (simple) hastily or suddenly start something; to set or harden (about binder/sticky substance/cement)"
"райо́нный","district, area"
"склони́ться","incline, bend, be inclined, yield, decline, be declined"
"терпели́во","patiently, with patience"
"проше́дший","past already occured"
"ку́зов","body, bodywork, basket, van"
"вне́шность","appearance; The outer visible part of something"
"потре́боваться","to be needed; to be required"
"вдали́","in the distance, at a distance, far off"
"строчо́к","(hooded) false morel"
"дипло́м","diploma, certificate of degree, award, prize"
"интеллиге́нтный","intelligent cultured educated intellectual"
"сму́тный","vague; turmoil"
"почита́ть","read (for a while); honour, respect, esteem, revere, hold sacred, consider, think"
"обма́нывать","deceive"
"забра́ться","climb or get into or onto"
"по́рция","portion, helping"
"слу́шаться","to obey, listen to, take advice"
"витри́на","display-case, show-case, glass case"
"мате́рия","matter, substance, pus, material, cloth, fabric, stuff"
"прова́л","failure; hole, depression (space)"
"нахму́риться","to frown"
"бессме́ртный","immortal"
"ску́чный","boring (boring)"
"похо́дка","gait; Manner of walking"
"тра́вма","injury/ trauma"
"свя́зывать","connect"
"любова́ться","to admire/marvel at"
"отраже́ние","reflection"
"глу́хо","deafly; dully, vaguely, in a muffled way (sound); out-of-the-way, remotely (place)"
"ло́пнуть","to burst; to pop"
"тя́жкий","heavy, difficult; То же что тяжёлый (adj)"
"пу́сто","be empty"
"оборва́ть","to tear off or pluck (in stages and all around); to cut off the flow of something (conversation etc)"
"поперёк","across"
"гла́дить","to iron; to pet"
"бак","tank, reservoir, clothes-boiler, mess-dish, mess, forecastle, foredeck, bin"
"освободи́ться","to free oneself (from); to get free, to break free; to get free time, to become free"
"поползти́","to crawl"
"во́семьдесят","eighty"
"ме́тод","method"
"бесшу́мно","quietly, silently, noiselessly"
"мяч","ball"
"ни́щий","beggarly/extremely poor (adj)"
"скрипе́ть","to squeak"
"тра́сса","line, road, direction, route; plan, draft"
"вплоть","right up to"
"отвезти́","to accompany; to drive someone/something away"
"грамм","gramme, gram"
"торжество́","celebration, fete; festivitiy, festival, ceremony; triumph, exultation, victory"
"сво́йственный","characteristic"
"пресле́довать","pursue"
"ку́пол","dome, big top, cupola"
"мрак","(bookish) darkness absence of light"
"подсказа́ть","Tell (how to do something)"
"хребе́т","range"
"шестна́дцать","sixteen"
"обяза́тельный","required obligatory compulsory mandatory"
"проявля́ться","to become apparent; to manifest itself"
"идеоло́гия","ideology"
"выдаю́щийся","outstanding"
"изда́ть","publish or issue; let out or produce"
"узнава́ть","to recognize, recognise; to learn, to get to know, to find out"
"угрожа́ть","to threaten (violence etc)"
"ребро́","rib, edge, verge"
"кома́ндующий","commander"
"повсю́ду","everywhere, far and wide"
"зале́зть","climb, steal, get, penetrate"
"рели́гия","religion"
"ба́тюшка","(outdated) father"
"разма́хивать","to swing something"
"преодоле́ть","to overcome, get over"
"основа́ть","found, base; to establish"
"улете́ть","fly, vanish, pass"
"пара́дный","main, front door, gala, for show"
"упира́ться","to rest (against), to set (against); to jib, to balk, to refuse; to be hampered, to be held back, to hinge (on)"
"артилле́рия","artillery"
"труди́ться","to labor, to labour; to toil"
"поспеши́ть","hurry, make haste, hasten, be fast"
"пехо́та","infantry"
"поп","priest, pin, pope"
"вылеза́ть","come out, climb out, scramble out, crawl out, get out, alight, fall out"
"урони́ть","drop, let fall, shed, moult"
"победи́тель","winner"
"води́ться","is associated with; to be found, to live, to be"
"вы́глянуть","look out, peep out, emerge"
"э́моциональный","emotional"
"уговори́ть","persuade, talk into, convince"
"спры́гнуть","to spring from; to jump from"
"платфо́рма","platform, goods truck, flatcar"
"матч","match"
"ржа́вый","rusty"
"эмо́ция","emotion"
"дру́жно","in a friendly manner, in friendly fashion, amicably, simultaneously, together, rapidly"
"паца́н","boy, lad"
"ворова́ть","steal"
"убежде́ние","Conviction/Belief"
"оконча́тельный","definitive and final"
"обры́в","a steep cliff"
"плёнка","film (physical substance); pellicle"
"изнутри́","from within, on the inside"
"поса́дка","landing (plane); boarding (trains, planes)"
"невыноси́мый","intolerable, unbearable, unsufferable"
"блокно́т","notebook, note-book, note pad, writing-pad"
"разбо́йник","robber"
"откли́кнуться","respond, comment"
"обита́тель","inhabitant, resident"
"расходи́ться","to diverge"
"чёткий","clear"
"сверка́ющий","glittering, sparkling, shining"
"моти́в","tune; motif; motive, cause, reason"
"сооруже́ние","structure"
"одина́ково","in the same way"
"уничтоже́ние","destruction"
"по́лость","cavity (space within something)"
"наскво́зь","through, throughout"
"расспра́шивать","to ask or question"
"удали́ться","To retire"
"у́личный","street"
"выводи́ть","take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch"
"вы́водить","take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch"
"рассле́дование","investigation"
"ни́тка","thread, string, yarn; line; skin"
"подави́ть","suppress, trample, squeeze"
"сопротивля́ться","to resist"
"младе́нец","baby, infant"
"подчиня́ться","to submit/to obey"
"постоя́ть","stand"
"рези́новый","rubber"
"фигу́рка","statuette, figurine, porcelain-figure"
"тре́звый","Sober"
"образо́ванный","educated; derived or formed"
"помо́рщиться","to wince, to make a face; to pucker"
"драгоце́нный","precious"
"игро́к","player"
"коза́","goat, she-goat, nanny-goat"
"поиска́ть","to look for, search, seek"
"интона́ция","intonation"
"кача́ться","to swing, reel, stagger, sway"
"поро́да","breed"
"ло́зунг","slogan, catchword, watchword"
"уступа́ть","to concede/give up/give way"
"профессиона́л","professional"
"сотру́дничество","cooperation"
"темп","rate, speed, pace, time, tempo"
"обеща́ние","promise"
"презира́ть","to despise"
"перево́дчик","translator, interpreter, change-lever"
"занаве́ска","curtain, lace curtain"
"жа́дно","greedily"
"соглаше́ние","agreement, understanding, covenant"
"дави́ть","pressure, lie heavy, crush, squeeze"
"печа́ль","grief or sorrow"
"тюре́мный","prison"
"нева́жно","it is unimportant, never mind, not very well, poorly, indifferently"
"вы́резать","cut out, excise, engrave, carve, slaughter, massacre, butcher"
"выреза́ть","cut out, excise, engrave, carve, slaughter, massacre, butcher"
"зна́ющий","learned, scholarly, erudite, skilful, competent, able"
"вы́пуск","graduation: release; episode"
"незнако́мец","stranger"
"гром","thunder"
"ука́занный","indicated; stated"
"формирова́ние","forming, unit, formation"
"недоста́точно","it is insufficient, it is not enough, insufficiently"
"изде́лие","product"
"казнь","execution, capital punishment, torture"
"ме́стность","locality, district, area"
"невро́з","neurosis"
"проще́ние","forgiveness, pardon, absolution"
"подчёркивать","underline; stress"
"запе́ть","begin to sing"
"пока́чиваться","rock, sway; shake, jiggle, waggle"
"кро́шечный","very tiny"
"висо́к","temple"
"ба́нда","gang"
"хо́хот","laughter"
"рассужде́ние","Reasoning"
"избежа́ть","to escape, to run from"
"транше́я","trench"
"подбежа́ть","to run up, run up on, come running up"
"выта́скивать","take out, drag out, pull out, extract, fish out, steal, pinch"
"отврати́тельный","disgusting"
"кружи́ться","whirl spin go round in circles; be dizzy"
"холл","hall"
"го́рдо","proudly"
"чи́стить","to clean or brush; to peel"
"мунди́р","uniform; coat; jacket"
"голу́бчик","my dear fellow, my friend, my lad"
"запусти́ть","launch, lanzamiento; neglect, descuido, allow to deteriorate, let slide"
"нея́сный","vague"
"упо́рно","persistently, hard, stubbornly, doggedly, obstinately"
"ку́кла","doll"
"бессмы́сленный","senseless, nonsensical, insensate, meaningless, unmeaning, foolish, inane, silly"
"впра́во","to the right"
"констру́кция","construction, design, structure"
"наи́вный","naive"
"печа́тать","to type; print"
"вы́ложить","to lay out; to put up money; to post online"
"скла́дываться","to fold; to take shape; to work out/be succesful"
"распространи́ть","spread, diffuse, disseminate, propagate, popularize"
"капитали́зм","capitalism"
"произво́дственный","production; manufacture"
"ве́ко","eyelid"
"корпора́ция","corporation"
"тьфу","Aargh!"
"то́щий","skinny, emaciated, starved, ravaged, scraggy, skinny, empty, poor"
"теку́щий","current, present-day, everyday; flowing; recurring (at a time)"
"поруче́ние","assignment; Errand"
"проте́ст","protest, remonstrance"
"бара́н","ram; wild sheep; dummy"
"кли́чка","nickname, moniker, name (of an animal); pseudonym / alias, conspiratorial name"
"пого́н","shoulder-strap; shoulder-board (mil.)"
"пото́мок","descendant, offspring, progeny"
"лу́нный","lunar, moon"
"сде́рживать","to hold in, keep back, restrain, hold in check, contain, deter, hold, keep in, suppress, check; to contain"
"толка́ть","push, shove, jog, push on, incite, instigate"
"бассе́йн","pool, basin; swimming pool"
"пребыва́ть","to be (at some place) remain or stay"
"по́просту","simply, without ceremony"
"уде́рживать","holding and not letting move; withhold or retain/suppress"
"поря́дочный","upstanding orderly (adj)"
"уво́лить","to dismiss or fire"
"пе́чень","liver"
"мосто́вый","(relational) bridge"
"пода́ться","to move (under pressure); to yield, to give way; to make for, set out for"
"непривы́чный","uncustomary; not used to"
"защи́тник","defender/protector"
"обеспе́чение","provision or support"
"потерпе́ть","suffer, endure, stand, bear, put up with, tolerate, support; have patience"
"заслу́га","merit"
"отвраще́ние","repugnance/disgust"
"прислу́шаться","to listen to; heed or bear in mind"
"суде́бный","judicial, legal, forensic"
"строи́тель","builder, construction worker"
"ось","axle / axis"
"уста́ло","tiredly"
"приобрета́ть","to acquire or gain"
"стон","moan, groan"
"пёстрый","covered with multi-colored spots stripes made up of something painted in different colors; heterogeneous in composition consisting of heterogeneous parts; ornate pretentious (about speech phrase etc)"
"земля́нка","dug-out, earth-house"
"спохвати́ться","to remember suddenly"
"идеа́льный","perfect"
"хиру́рг","surgeon"
"равноду́шный","indifferent"
"сексуа́льный","sexual, sexy"
"устано́вленный","installed, established, fixed, prescribed"
"пригоди́ться","be of use"
"моло́денький","young"
"те́сно","tightly, narrowly, closely"
"рельс","rail, rails, metals"
"изуче́ние","study"
"призы́в","call (for), appeal; call-up (conscription), selection, draft"
"вспы́хивать","blaze up, take fire, break out, flash, flare up, blush, flush"
"объедини́ть","combine or unite"
"быт","daily life"
"рожда́ться","be born, occur, come, arise, spring up, thrive, flourish"
"отдалённый","remote, distant"
"сорт","sort, kind, variety, brand; grade, quality, "
"пласти́нка","Record"
"брю́хо","belly, paunch, corporation"
"впра́вду","really, really and truly"
"стоя́нка","parking, moorage, station, post, stopping place, parking place, parking lot, sit, stand, stop, mooring"
"правле́ние","governing, government, board of administration, board"
"па́даль","carrion, cadaver, decaying flesh; vile person, objectionable person; windfall"
"испу́г","fright or the strong emotional reaction from something terrible"
"увели́чить","increase, enlarge, extend, augment, magnify; zoom"
"брита́нский","British"
"бу́дка","dog house; booth"
"постановле́ние","resolution decision decree enactment"
"Рим","Rome"
"опуска́ть","to lower/put down"
"издалёка","from far away, from afar"
"жиле́ц","tenant"
"обсужде́ние","discussion"
"до́рого","expensive (adverb); dear, dearly"
"заря́","dawn; от зари до зари - all day; ни свет ни заря - very early"
"разрабо́тка","development design; cultivation, working, exploitation, mine workings, underground mines, elaboration"
"отправля́ть","send"
"ка́сса","checkout, till; ticket window, box office; cash; bank, fund; cash register; case (polygraphy)"
"уступи́ть","to concede/give up/give way"
"впрямь","really, indeed"
"кипе́ть","to boil, to boil over, to seethe, to rage; to be in full swing (in terms of action)"
"ца́рство","kingdom, ; realm, reign, "
"поплы́ть","start swimming; Sail"
"ворва́ться","to storm into"
"ничу́ть","(colloquial) not at all"
"создава́ться","be created"
"табле́тка","tablet, pill"
"изложи́ть","state/set out/to expound/express something in words/written/oral"
"сейф","safe"
"нагру́зка","load, loading"
"горожа́нин","townsman, town-dweller, city-dweller, townsperson"
"го́речь","bitterness; bitter taste, "
"ри́мский","Roman"
"пейза́ж","scenery, landscape"
"посети́ть","visit"
"студе́нческий","student, student's"
"почётный","honourable, honorary"
"шу́мно","noisily"
"секрета́рша","secretary (female)"
"толчо́к","a push"
"замёрзнуть","to freeze"
"визг","squeal, screech"
"прохла́дный","cool"
"а́томный","atomic"
"суще́ственный","significant"
"дыми́ться","smoke, steam"
"соедине́ние","joining; compound; connection"
"заявля́ть","declare, claim, announce, propose"
"млрд","billion"
"различа́ть","to distinguish, to discern, to make out"
"внима́тельный","attentive"
"се́мя","seed, semen, sperm"
"осёл","donkey, ass"
"дели́ть","divide; share"
"сли́зистый","mucous, mucilaginous, slimy"
"изучи́ть","study, learn, examine"
"похорони́ть","to bury, inter, hide, conceal, lay away"
"отрица́тельный","negative"
"багро́вый","crimson, purple"
"се́тка","net, netting, gauze, rack, butterfly-net, sweep-net, string-bag, graticule, grid, scale"
"ло́жный",""
"подразделе́ние","subdivision unit branch"
"контра́кт","contract, agreement"
"уста́в","regulations, statutes, charter, service regulations, manual, ustav"
"равнове́сие","(science/bookish/technical) equilibrium/balance"
"том","volume (of a book, magazine or disk)"
"пруд","pond, estanque"
"плоть","flesh"
"употребля́ть","to use; to consume"
"дымо́к","puff of smoke"
"снисходи́тельный","lenient; condescending"
"самоуби́йство","suicide, self-murder"
"посо́л","ambassador, salting"
"прови́нция","province, the provinces"
"грань","facet, side; border, verge, brink (figuratively)"
"поздоро́ваться","say how do you do, greet, hail, say hi to"
"публика́ция","publication(ấn phẩm), advertisement"
"шу́мный","noisy"
"кома́р","mosquito"
"купе́ц","merchant"
"о́фис","office"
"фо́кус","trick, double-dealing, trickery, whim, freak; focus"
"вы́кинуть","discard, chuck out, have a miscarriage, miscarry, slip"
"разря́д","category; discharge; The degree of qualification in a certain person"
"гоня́ть","drive, drive away, make run errands, send on errands; chase, pursue"
"тре́щина","crack, split, cleft, fissure, rift"
"бытие́","being"
"Кавка́з","Caucasus"
"изя́щный","Refined; Delicate"
"кастрю́ля","cooking pot, pot"
"нагну́ться","to bend over"
"му́дрость","wisdom"
"ве́домство","department"
"тро́нуться","to get moving, to be off; (colloquial) to go nuts"
"за́росль","overgrowth; thicket"
"щено́к","puppy"
"табли́ца","table (grid of data)"
"людско́й","human (adj)"
"вплотну́ю","very tightly close cramped (adv); very seriously"
"содержа́ться","contain"
"сбега́ть","escape, run away, flee; run down"
"сбе́гать","run and get back, quickly go and get"
"презре́ние","contempt disdain"
"болта́ться","hang out, hang about, lounge, loaf; dangle"
"пошути́ть","to joke"
"твори́ть","to create (in process of creation); to do or work"
"гусь","goose"
"краса́вец","handsome man, Adonis"
"делега́ция","delegation"
"вы́раженный","expressed"
"подро́бный","detailed, minute"
"чуда́к","crank, eccentric, oddity, queer fish"
"повторя́ться","repeat"
"до́за","dose, draught"
"взлете́ть","fly up, take wing, flush; take off (flying)"
"экспе́рт","expert"
"сантиме́тр","centimetre, tape-measure, tape-line"
"убира́ть","tidy, clean up, decorate, adorn; take away, remove; harvest; put away"
"трибу́на","platform, rostrum, tribune, stand"
"застря́ть","to be stuck, get stuck"
"делови́тый","efficient, business-like"
"напа́сть","to attack"
"ветеро́к","breeze"
"констру́ктор","designer, constructor, meccano"
"пляса́ть","to dance (hop/waltz around), to hop"
"вы́разиться","express oneself"
"акти́вно","actively"
"вле́во","to the left"
"стоп","stop"
"Пи́тер","Piter (Saint Petersburg); Peter"
"лиши́ть","deprive rob of, bereave"
"не́вский","(relational) Neva, Nevsky"
"ска́терть","table-cloth"
"скуча́ть","to be bored; To miss (so./sth.)"
"боково́й","side lateral (adj)"
"опо́мниться","come to your senses"
"о́бувь","shoes"
"пробира́ться","to make way through something"
"прису́тствующий","present/attendee"
"теле́га","A four-wheeled cart with a low body and a shaft or drawbar team for transporting someone; complaint a slander a denunciation; hard thankless work; a song in the hip-hop genre Rap verses"
"областно́й","provincial, regional"
"вал","shaft, Высокая волна"
"прорва́ться","to break through; to penetrate"
"наткну́ться","to stumble across"
"дневно́й","day, daily"
"скло́нный","prone or tend to"
"по́чка","bud, leaf-bud, burgeon, gemma; kidney"
"о́ко","eye"
"ёлка","(small) spruce, spruce tree; Christmas tree; jolka festival (on 31 Dec.)"
"офице́рский","officer"
"свали́ть","to throw down or bring down; to blame; to overcome/overthrow; to dump; to leave or get out"
"скака́ть","jump; gallop"
"прибежа́ть","to resort to, have recourse, fall back; come running"
"парово́з","chimney, engine, steam locomotive, railway engine"
"умоля́ть","to beg"
"змей","serpent, dragon, snake; kite"
"рвану́ться","to jerk (reflexive); to explode; to take off"
"проглоти́ть","swallow"
"вручи́ть","to hand to"
"скользи́ть","slide, slip; glide; float"
"па","pas, step"
"неизбе́жный","inevitable"
"мело́дия","melody, tune"
"дава́ться","to come to you, surrender, how is going something"
"ура́","hurrah"
"переноси́ть","carry across, bear; endure or stand; transfer"
"расстро́йство","disorder"
"объекти́вный","objective; unbiased, impartial"
"про́звище","nickname, sobriquet"
"номенклату́ра","nomenclature"
"отстава́ть","to lag or fall behind"
"барье́р","barrier, bar, hurdle"
"премье́р","prime minister, premier, leading actor, leading man, star actor, lead"
"плака́т","poster"
"вре́дный","harmful"
"то́ня","fishery, fishing ground, haul"
"вы́тянуться","to stretch; to stand erect"
"снару́жи","outside"
"босо́й","barefooted, bare"
"санита́р","hospital attendant, medical orderly; paramedic, hospital corpsman"
"оре́х","a nut"
"обо́чина","side of the road, roadside, curb"
"райко́м","district committee"
"сме́ло","boldly, bravely, fearlessly"
"ката́ться","ride; skate"
"превыша́ть","exceed"
"убега́ть","run away; boil over"
"сопровожда́ться","be accompanied"
"угоди́ть","fall, get, bang, bump, hit; to please"
"расстре́л","execution"
"распоряди́ться","to dispose; order"
"задра́ть","to maul, lift up"
"навести́ть","to visit"
"огуре́ц","cucumber"
"перее́хать","run over, knock down; move (to a particular location)"
"отмени́ть","cancel"
"отмеча́ться","to be observed/to be recognized"
"удо́бно","it is convenient, it suits, it is proper, comfortably"
"во́инский","military, martial"
"самостоя́тельно","independently, without assistance"
"зарасти́","be become overgrown"
"моро́женый","frozen, chilled"
"усме́шка","grin/smirk"
"валю́та","currency"
"ту́го","tight, with difficulty, slowly"
"перегляну́ться","exchange glances"
"прави́тельственный","governmental, government"
"определя́ться","to be defined/to be determined"
"вера́нда","veranda"
"обло́мок","fragment, debris, wreckage, flotsam"
"рассерди́ться","get angry, get mad"
"ку́рица","hen, chicken"
"прида́ть","give to/attribute (к чему)"
"пе́на","foam, spume, scum, froth, suds, lather"
"преда́тель","traitor"
"крестья́нский","peasantish"
"пожи́ть","live, stay, have seen life, to live for a while"
"зво́нкий","ringing, clear, resonant, voiced"
"проника́ть","penetrate; break in; get in"
"доста́точный","enough"
"вы́сунуться","lean out or stick out"
"ды́рка","small hole"
"факульте́т","faculty, department"
"тропа́","path, trail"
"ручно́й","hand; manual / handmade; tame, domesticated"
"па́ника","panic, scare"
"винова́то","guiltily"
"связа́ться","to connect with; to contact"
"торго́вец","merchant, dealer, trader, tradesman"
"натяну́ть","to stretch on"
"ша́рик","small ball; balloon; diminutive of шар"
"предчу́вствие","hunch, presentiment, foreboding, misgiving, premonition"
"вопреки́","contrary to"
"фальши́вый","false, spurious, forged, artificial, imitation, insincere"
"избега́ть","avoid"
"избе́гать","run about"
"копьё","spear, lance"
"перестро́йка","rebuilding, reconstruction, reorientation, reorganization, re-tuning; extension to a building"
"оде́ться","to wear clothes or to put on clothes"
"моло́чный","milk (adj)"
"введе́ние","introduction, preface"
"диплома́т","diplomat, diplomatist"
"пе́рец","pepper"
"твори́ться","happen; going on"
"гроза́","thunderstorm"
"сравни́тельно","comparatively"
"индивидуа́льный","individual"
