"козёл","Ziegenbock"
"ссы́лка","Verweis, Referenz, Link, Hinweis, Bezugnahme, Fußnote; Ausweisung, Verbannung, Deportierung, Verbannungsort"
"соверше́нный","vollkommen, ganz, völlig, komplett; perfekt, vollendet"
"цени́ть","schätzen, abschätzen; wertschätzen, würdigen"
"подчинённый","Untergebener, Untergeordneter, Unterstellter"
"тёща","Schwiegermutter, Mutter der Ehefrau"
"па́луба","Deck"
"ме́ньший","kleiner, geringer, minder; jünger"
"перча́тка","Handschuh"
"вложи́ть","hineinlegen, hineintun, deponieren; investieren, anlegen"
"вы́бить","ausschlagen, ausklopfen; einschlagen"
"коре́йский","koreanisch"
"пузы́рь","Blase; Pulle, Flasche; Knirps, Wonneproppen"
"се́рия","Serie, Reihe; Folge, Teil"
"приба́вить","hinzufügen, addieren; zugeben, dazutun, dazugeben; zulegen"
"верхо́вный","oberst, Ober-"
"вы́носить","austragen, ausbrüten, gebären, aushecken, aussinnen"
"выноси́ть","hinaustragen, rausbringen; ertragen, aushalten"
"просто́рный","geräumig, weiträumig; weit, weitläufig"
"неопределённый","unbestimmt; ungewiß, vage"
"велосипе́д","Fahrrad, Rad"
"косну́ться","berühren, streifen, tangieren; betreffen"
"ресу́рс","Ressource, Vorräte; Standzeit, Laufleistung, Lebensdauer"
"задыха́ться","ersticken; außer Atem sein, keuchen"
"эффекти́вный","effektiv; wirksam, wirkungsvoll"
"тетра́дь","Heft"
"храни́ться","bewahrt, aufbewahrt werden, lagern, in Verwahrung sein"
"злове́щий","unheilvoll; unheilverkündend, unheilschwer; unheimlich"
"абсолю́тный","absolut"
"жа́жда","Durst"
"постоя́лый","Gast-, Quartier-, Hotel-"
"а́лый","rot, purpurrot, scharlachrot"
"разорва́ть","zerfetzen, zerreißen, in Stücke reißen"
"му́сор","Müll, Unrat, Abfälle, Kehricht, Schutt"
"пету́х","Hahn"
"порошо́к","Pulver, Mehl, Puder"
"религио́зный","religiös, gläubig, fromm; Religions-, "
"донести́сь","herüberschallen, klingen, tönen; sich ausbreiten"
"перехвати́ть","abfangen, auffangen; umgreifen, abfangen, umschlingen"
"расте́ние","Pflanze; Gewächs"
"воспринима́ть","wahrnehmen, aufnehmen, auffassen, ; annehmen, akzeptieren, aneignen"
"уда́в","Riesenschlange"
"башма́к","Schuh"
"сего","diese(r,s) / jene(r,s) -> siehe сей"
"лы́жа","Ski"
"пропага́нда","Propaganda, Propagierung"
"руководи́ть","leiten; anleiten; an die Hand nehmen; einarbeiten; betreuen (Projekt)"
"задержа́ться","sich aufhalten, länger bleiben, sich länger aufhalten; stocken, stehenbleiben, sich verzögern; sich verklüngeln, zu lange mit etwas aufhalten"
"бык","Stier, Bulle, Ochse; Krimineller"
"бе́шеный","tollwütig, wütend; rasend, wahnsinnig"
"сниже́ние","Verringerung, Reduzierung, Ermäßigung; Senkung, Herabsetzung"
"опа́сно","gefährlich, es ist gefährlich"
"пасть","sinken; fallen, stürzen, verfallen; entfallen, zuteil werden"
"плач","Weinen, Klagelied"
"переверну́ть","wenden, umdrehen, umkehren, umschlagen, umstülpen; umwerfen, umkippen"
"типи́чный","typisch, kennzeichnend, charakteristisch"
"сало́н","Vorführraum, Salon, Fahrgastraum, Kabine"
"надева́ть","anziehen, überziehen, anlegen, anstecken; aufsetzen"
"замеча́ние","Anmerkung, Bemerkung, Äußerung, Hinweis; Verweis, Verwarnung"
"беспоко́йство","Unruhe, Ruhelosigkeit; Beunruhigung, Besorgnis, Sorge; Ruhestörung"
"бра́тец","Brüderchen"
"увезти́","abtransportieren, fortschaffen. mitnehmen; wegbringen, bringen"
"наруша́ть","brechen, verletzen, übertreten, gegen etw. verstoßen, nicht einhalten, nicht befolgen; unterbrechen, stören, zerstören"
"выходно́й","arbeitsfrei, feiertäglich; Ausgangs-, Austritts-"
"заверну́ть","einbiegen, abbiegen, um die Ecke gehen; einwickeln, einpacken, einhüllen, umschlagen; drehen, verdrehen, umdrehen, zudrehen, umschlagen"
"гости́ный","Gast-; Kauf-, Handels-"
"обору́дование","Einrichtung; Ausstattung, Ausrüstung, Anlagen"
"буфе́т","Imbißraum, Erfrischungsraum"
"аргуме́нт","Argument, Beweis"
"рекомендова́ть","empfehlen, raten"
"лёт","Flugzeit; Flug"
"пра́здничный","festlich, feierlich; Fest-, Feier-, Feiertags-"
"спусти́ть","herablassen, hinunterlassen, herunterlassen; ablassen; loslassen; herabsetzen, senken"
"набира́ть","wählen; aufsammeln, aufnehmen, sammeln, pflücken, zusammenraffen, zusammenstellen; zulegen, zunehmen"
"неожи́данность","Unerwartetes; Überraschung"
"цирк","Zirkus"
"светло́","hell, klar; licht"
"зараба́тывать","verdienen; sich zuziehen, sich einhandeln"
"луг","Wiese"
"переводи́ть","übersetzen, dolmetschen; transferieren, überweisen, übertragen; verschieben, verlagern"
"подозри́тельный","verdächtig, suspekt; misstrauisch machend, Argwohn erregend, fragwürdig"
"инвали́д","Invalide"
"исхо́д","Ausgang; Abschluß, Resultat, Ablauf, Ergebnis, Ende"
"обрести́","finden, gewinnen"
"нену́жный","unnötig, unnütz"
"бюро́","Büro, Stelle"
"отде́льно","getrennt, gesondert; einzeln; separat"
"бедро́","Hüfte; Oberschenkel, Schenkel"
"допуска́ть","zulassen, gestatten; annehmen, zugeben; begehen, machen; akzeptieren, einräumen, zulassen"
"квадра́тный","quadratisch, Quadrat-; eckig, vierkant"
"подро́бно","ausführlich, eingehend; detailliert"
"сжать","zusammendrücken, zusammenballen, zusammenpressen; ernten, abschneiden, abmähen"
"вздох","Seufzer"
"зе́лень","das Grün; Grünzeug"
"освобожде́ние","Befreiung; Freistellung, Entlassung, Freilassung, Dienstbefreiung"
"покоси́ться","schielen, schief ansehen, anschielen; schief sein, schief werden"
"престу́пный","verbrecherisch, sträflich"
"село́","Dorf, größere Siedlung, Marktflecken, ländliche Kleinstadt"
"отступи́ть","zurückweichen, weichen, sich zurückziehen, zurücktreten, wegtreten; abweichen"
"аэродро́м","Flugplatz"
"чин","Rang, Dienstgrad"
"влюблённый","verliebt, der Verliebte"
"расстегну́ть","aufmachen, öffnen, lösen, aufknöpfen, aufhaken, aufschnallen"
"пле́мя","Volksstamm"
"ла́герный","Lager-"
"мышь","Maus"
"гру́бо","grob, barsch, rauh, hart"
"шу́ба","Pelzmantel; Pelz"
"вса́дник","Reiter"
"до́ступ","Zugang, Zutritt; Zugriff"
"крючо́к","Haken"
"упере́ться","sich stemmen, sich stützen; sich sträuben, sich widersetzen, sich weigern; stoßen, geraten"
"небре́жно","nachlässig, liederlich, lässig; achtlos"
"очеви́дный","offensichtlich, offenbar, offenkundig"
"медици́на","Medizin"
"крути́ться","sich drehen"
"боеви́к","Bewaffneter Kämpfer, Freischärler; Actionfilm, Triller"
"осве́домиться","sich informieren, erfragen; sich erkundigen, nachfragen"
"дро́гнуть","zittern, frieren; ins Wanken kommen, ins Schwanken kommen"
"посо́льство","Botschaft"
"бума́жный","Papier-"
"прикрыва́ть","zudecken, bedecken; vertuschen, verheimlichen; anlehnen, nicht ganz schließen; decken, schützen"
"пребыва́ние","Aufenthalt; Verweilen"
"ко́нчик","Spitze; Endstück"
"упомяну́ть","erwähnen"
"вцепи́ться","sich anklammern, sich festklammern"
"миллиа́рд","Milliarde"
"напеча́тать","tippen, maschineschreiben; drucken, veröffentlichen"
"моне́та","Münze"
"свист","Pfeifen, Pfiff"
"ниско́лько","gar nicht, nicht im geringsten, durchaus nicht, überhaupt nicht"
"соли́дный","solide, haltbar, gediegen, gründlich, gesetzt"
"шерсть","Wolle, Haar; Fell"
"предположе́ние","Vermutung, Annahme, Mutmaßung; Vorraussetzung"
"ста́линский","Stalin-, stalinistisch"
"раздража́ть","verärgern, ärgern; irritieren, reizen, aufbringen"
"по́вар","Koch"
"тварь","Kreatur; Luder"
"торже́ственно","feierlich, ; festlich, pompös"
"уточни́ть","präzisieren, klarstellen"
"каза́к","Kosak"
"обеспе́чивать","versorgen, versehen; gewährleisten, sicherstellen, garantieren"
"неуда́ча","Misserfolg, Pech, Schlappe; Fehlschlag, Rückschlag"
"электро́нный","elektronisch; Elektronen-"
"приглаше́ние","Einladung, Aufforderung"
"размышле́ние","Nachdenken; Überlegung, "
"гра́дус","Grad"
"шко́льник","Schuljunge, Schüler"
"засу́нуть","hineinstecken, einstecken"
"предстоя́щий","bevorstehend, kommend; künftig, zukünftig"
"биогра́фия","Biographie, Lebenslauf"
"симпати́чный","sympathisch, anziehend, angenehm, einnehmend"
"дровосе́к","Holzbock, Borkenkäfer; Holzfäller, Holzhacker"
"кри́тика","Kritik"
"обе́дать","zu Mittag essen"
"кита́ец","Chinese"
"филосо́фия","Philosophie"
"заодно́","zugleich, nebenbei; einvernehmlich, gemeinsam, einträchtig"
"ви́дный","sichtbar, erkennbar, bedeutend, , ansehnlich; ansehnlich, angesehen, prominent, stattlich"
"набо́р","Satz, Set, Garnitur, Konvolut; Wählen"
"по́шло","flach"
"зага́дка","Rätsel, Geheimnis, Mysterium"
"характери́стика","Charakteristik, Beurteilung"
"прожива́ть","wohnen, verbleiben, leben; durchbringen, verprassen, ausgeben"
"фантасти́ческий","fantastisch, phantastisch, unwirklich, wunderlich, großartig"
"расста́ться","auseinandergehen, sich verabschieden, sich trennen"
"поэ́зия","Poesie; Dichtung, "
"англича́нин","Engländer"
"бино́кль","Fernglas, Opernglas, Feldstecher"
"благополу́чно","wohlbehalten; glücklich, geglückt, günstig verlaufend, reibungslos; prosperierend, erfolgreich, blühend"
"беспо́мощный","hilflos, ratlos, unbeholfen"
"коло́дец","Brunnen"
"седло́","Sattel"
"украи́нский","ukrainisch"
"повя́зка","Binde; Verband"
"ко́рточки","Hocke, kauernde Position"
"существу́ющий","existent; bestehend"
"темне́ть","dunkel werden, dunkeln, sich verdunkeln, eindunkeln"
"заду́мать","beabsichtigen, planen, gedanklich durchgehen"
"поры́в","Aufwallung, Anfall; Ausbruch, Impuls"
"проби́ть","schlagen; durchschlagen, durchbrechen"
"вгля́дываться","genau ansehen, aufmerksam betrachten"
"грана́та","Granate"
"италья́нский","italienisch"
"ху́тор","Hof, Einödhof, Gehöft, Hofstatt; Weiler, bäuerliche Siedlung"
"комсомо́льский","Komsomol-"
"непосре́дственный","unmittelbar, direkt, natürlich, unbefangen"
"гу́сто","dicht, dick; dickflüssig"
"чу́вствоваться","zu spüren sein, spürbar, fühlbar"
"практи́ческий","praktisch"
"воспале́ние","Entzündung"
"добавля́ть","hinzufügen, dazugeben, dazutun; ergänzen"
"пацие́нт","Patient"
"добы́ть","fördern, gewinnen; sich verschaffen, auftreiben, beschaffen"
"подъе́хать","heranfahren, anreisen, vorfahren; sich heranmachen, sich einschmeicheln"
"печа́льно","traurig, kummervoll; betrübt, wehmütig"
"па́лочка","Stäbchen, kleiner Stab, Stöckchen, kleine Stange (Stick), Riegelchen; Essstäbchen; Stäbchenbakterie"
"ра́звитый","entwickelt, auseinandergewickelt"
"графа́","Spalte, Rubrik"
"поку́пка","Einkauf; Kauf"
"объявле́ние","Ankündigung, Bekanntmachung, Ansage, Durchsage, Verkündung, Aushang, Information; Anzeige, Inserat, Annonce"
"роса́","Tau"
"сдви́нуть","verschieben, wegrücken, zusammenrücken"
"безу́мный","wahnsinnig; sinnlos"
"воробе́й","Sperling, Spatz"
"простыня́","Laken, Bettlaken, Bettuch"
"Оде́сса","Odessa"
"десятиле́тие","Jahrzehnt, der zehnte Jahrestag"
"направля́ться","sich begeben, gehen, hinfahren"
"нау́чно","wissenschaftlich, wissenschaftsbasiert, akademisch"
"невысо́кий","nicht hoch, niedrig, nicht groß, klein, mäßig, erschwinglich"
"дрема́ть","schlummern, dösen"
"корзи́на","Korb"
"петля́","Schlinge, Schlaufe, Schleife, Masche; Öse, Knopfloch; Türschanier"
"боле́зненный","kränklich; krankhaft, schmerzhaft, schmerzlich"
"кампа́ния","Kampagne, Feldzug, Aktion; Kampanien"
"вспы́шка","Aufflammen, Auflodern, Aufblitzen, Ausbruch; Blitzlicht"
"наказа́ть","bestrafen"
"гнездо́","Nest, Horst, Sitz; Buchse, Sockel"
"столкну́ться","kollidieren, zusammenstoßen; aufeinanderprallen, konfrontiert sein, aufeinandertreffen; stoßen"
"не́жно","zärtlich; zart, sanft"
"вмеша́ться","sich einmischen"
"лы́сый","kahl, kahlköpfig; Glatzkopf"
"перебира́ть","sortieren, durchsehen, durchgehen, auslesen; nacheinander nehmen, nacheinander berühren; zuviel nehmen, wiederholt nehmen"
"своеобра́зный","eigenartig, einzigartig, eigen, urtümlich, originell; eine Art von, eigentümlich"
"опозда́ть","zu spät kommen, sich verspäten; verpassen, versäumen"
"обща́ться","sich unterhalten, sich verständigen; Umgang pflegen, verkehren mit"
"поко́йник","Verstorbener, Toter"
"изве́стие","Nachricht"
"По́льша","Polen"
"кача́ть","schaukeln, wippen, schwingen, pendeln, wiegen; schütteln, hin und her bewegen; pumpen, downloaden"
"я́года","Beere"
"столе́тие","Jahrhundert; 100. Jahrestag, hundertster Jahrestag, Hundertjahrfeier"
"сдава́ться","aufgeben, sich ergeben, nachgeben, sich stellen, kapitulieren, klein beigeben; abgeben, abtreten; * scheinen, glauben"
"дли́ться","dauern, sich hinziehen; sich erstrecken (zeitlich)"
"бензи́н","Benzin"
"окружа́ть","umgeben, umgeben sein; einkreisen, umzingeln"
"францу́з","Franzose"
"угова́ривать","überreden, zureden"
"упо́р","Anschlag, Bock, Rast, Stütze, Abstützung; Gegendruck, Nachdruck"
"отве́рстие","Öffnung, Loch, Spalt"
"ра́ма","Rahmen"
"по́льский","polnisch"
"одино́чка","Einzelner, Einzelgänger, Alleinstehender; Einzelzelle; Einsiedler"
"опи́сывать","beschreiben, schildern; inventarisieren, auflisten, pfänden"
"зако́нный","gesetzlich, , rechtmäßig, legitim, ; gesetzmäßig; legitim"
"ука́з","Erlass, Verordnung, Dekret"
"спря́таться","sich verstecken, sich verbergen"
"улови́ть","einfangen, auffangen, erwischen; erfassen, wahrnehmen, spüren, bemerken"
"фи́нский","finnisch"
"огра́да","Umzäunung, Zaun, Hecke; Einfriedung"
"ступе́нь","Stufe; Entwicklungsstufe, Phase"
"зло́ба","Bosheit, Wut, Haß"
"скамья́","Bank, Sitzbank"
"смесь","Gemisch, Gemenge; Mischung"
"ве́дать","wissen, kennen; leiten, verwalten, bewirtschaften, zuständig sein"
"неплохо́й","nicht schlecht, ganz gut, akzeptabel"
"управля́ть","verwalten, leiten, führen; steuern, bedienen, lenken"
"кран","Hahn; Kran"
"пожа́рный","Feuer-, Brand-; Feuerwehr-"
"погла́дить","bügeln; streicheln"
"смерте́льный","tödlich, letal, Tod-, Todes-, Sterbens-"
"лени́во","faul"
"откры́то","offen, aufrichtig"
"ежедне́вно","täglich, jeden Tag"
"успе́шно","erfolgreich, mit Erfolg"
"жи́дкий","flüssig, liquide; dünn, dünnflüssig, wässerig; spärlich"
"успока́ивать","beruhigen, beschwichtigen"
"суета́","Hektik, Gehetze, Hast; Eitelkeit"
"зре́лище","Anblick, Schauspiel"
"возмути́ться","sich empören, empört sein"
"обши́рный","umfangreich, weitreichend, umfassend, groß; geräumig, weitläufig, ausgedehnt"
"уче́бник","Lehrbuch, Schulbuch"
"пови́снуть","hängenbleiben; herunterhängen; hängen"
"потихо́ньку","ganz leise, sang- und klanglos; in aller Stille, heimlich, verstohlen, allmählich, langsam, nach und nach"
"противоре́чие","Widerspruch, Gegensatz, Diskrepanz"
"вы́стрелить","schießen, einen Schuß abgeben"
"ресни́ца","Wimper"
"изумле́ние","Erstaunen; Verwunderung, "
"по́лно","voll"
"при́стально","unverwandt, durchdringend"
"крути́ть","drehen, pulen; festdrehen, zudrehen, festziehen, anschrauben; verdrillen, zwirnen, zusammenbinden; kreisen lassen, in Umlauf bringen; abspielen, drehen lassen; um den kleinen Finger wickeln; ein Verhältnis haben"
"башка́","Kopf, Birne, Rübe"
"свяще́нник","Priester, Pfarrer; Geistlicher"
"серде́чный","herzlich, innig, Herz-"
"переспроси́ть","nachfragen, nochmals fragen"
"подтвержда́ть","bestätigen, belegen"
"побе́г","Flucht, Entweichen; Trieb, Spross"
"приве́тствовать","begrüßen, willkommen heißen, grüßen, gutheißen, zustimmen"
"опира́ться","sich stützen, sich aufstützen; sich lehnen, sich anlehnen"
"дуб","Eiche, Eichenholz"
"бу́рный","stürmisch, ungestüm, heftig; aufgewühlt"
"сжима́ть","zusammendrücken"
"протяже́ние","Ausdehnung, Strecke, Zeitspanne"
"подмигну́ть","blinzeln; zuzwinkern"
"шту́рман","Steuermann, Navigationsoffizier, "
"по́хороны","Beerdigung; Begräbnis"
"плева́ть","spucken, speien; pfeifen"
"нало́говый","steuerlich"
"ха́та","Hütte, Bude; Chata, Bauernhaus, Dorfhaus"
"мра́чно","dunkel, finster; düster, trübselig"
"сбо́ку","von der Seite, an der Seite; seitlich, seitwärts"
"нема́лый","erheblich, nicht wenig"
"занести́","hineintragen, vorbeibringen, mitbringen, bringen; eintragen, hineinschreiben; bedeckt werden, verwehen; schleudern, zur Seite drehen; hochheben, anheben"
"мм","Millimeter"
"кро́хотный","winzig, klitzeklein"
"фило́соф","Philosoph"
"со́нный","schläfrig, verschlafen"
"забо́титься","sich sorgen; sich kümmern"
"двадца́тый","zwanzigster"
"шепну́ть","flüstern"
"невозмо́жный","unmöglich, unerfüllbar, unerträglich"
"уцеле́ть","heil bleiben, ganz bleiben; unversehrt bleiben, am Leben bleiben"
"помере́ть","sterben, hinscheiden, dahingehen"
"та́ять","tauen, ; schmelzen, wegschmelzen, zergehen; schwinden, abnehmen, abmagern, vergehen"
"поди́","wohl, wahrscheinlich; geh hin..., versuch..."
"расположе́ние","Lage, Anordung, Position, Standort, Aufstellung; Neigung, Zuneigung, Gewogenheit, Wohlgesinntheit, Sympathie; Stimmung, Laune"
"разработа́ть","entwickeln; ausarbeiten, erarbeiten"
"мо́дный","modisch, modern; Mode-"
"отбро́сить","wegwerfen, beiseite werfen, verwerfen, aufgeben, fallenlassen; zurückwerfen"
"швырну́ть","schleudern, schmeissen, werfen; verschwenden, vergeuden"
"приро́дный","natürlich, naturgegeben, angeboren; Natur-"
"ребяти́шки","Kinder"
"пле́нный","gefangen"
"эпизо́д","Episode"
"официа́льно","offiziell, amtlich"
"упусти́ть","versäumen, verpassen; unterlassen, auslassen, entwischen lassen"
"прижима́ть","drücken; bedrängen"
"зна́мя","Fahne, Banner"
"расста́вить","aufstellen, stellen; anordnen, zurechtrücken; spreizen"
"яд","Gift"
"сук","Ast, Knorren"
"су́хо","trocken"
"поло́ска","Band, Streifen, Streifchen; Strich, Linie, Rille; Leiste, Saum, Falz"
"зарубе́жный","ausländisch, Auslands-"
"сохраня́ть","bewahren, wahren; aufbewahren, speichern; behalten, beibehalten, erhalten"
"обма́н","Betrug; Täuschung"
"стона́ть","stöhnen, ächzen, wimmern"
"вооруже́ние","Bewaffnung, Waffen; Ausrüstung; Rüstung"
"капу́ста","Kohl; Kraut"
"бере́чь","bewahren, aufbewahren, sparen, schonen; hüten, behüten, schützen"
"звене́ть","klingen, läuten"
"аппети́т","Appetit"
"нуль","Null"
"группиро́вка","Gruppierung"
"проигра́ть","verlieren"
"партиза́н","Partisan"
"дуть","blasen, pusten, aufblähen, aufplustern; wehen; mit Eifer tun, pausenlos tun, mit Eifer spielen; saufen, schnell und in Mengen trinken, hinterstürzen"
"зака́т","Sonnenuntergang; Niedergang, Verfall"
"тропи́нка","Pfad, Fußspur"
"вести́сь","üblich sein, Sitte sein; ablaufen, im Laufen sein, verlaufen, vorgenommen werden, geschehen; nachgeben, zustimmen, sich einlassen, einverstanden sein, anbeißen; reinfallen"
"реве́ть","brüllen, tosen; heulen, plärren"
"справедли́вый","gerecht, fair, ; berechtigt"
"самостоя́тельный","selbständig, Selbst-, unabhängig, souverän"
"де́ться","hingeraten, hingelangen, hinkommen; verschwinden"
"чепуха́","Unsinn, dummes Zeug"
"исто́рик","Historiker, Geschichtsforscher"
"хозя́йственный","wirtschaftlich, haushälterisch, ökonomisch, herrisch; Wirtschafts-, Haushalts-"
"удовлетворе́ние","Befriedigung, Erfüllung; Genugtuung, Zufriedenheit"
"презри́тельный","verächtlich, verachtend"
"разнообра́зный","verschiedenartig; mannigfaltig; vielfältig; abwechslungsreich"
"дерьмо́","Scheiße, Dreck; Scheißkerl, Drecksack, Dreckskerl, Arschloch, Armleuchter"
"специа́льность","Fach, Fachgebiet, Beruf; Spezialität, Spezialgebiet"
"каблу́к","Schuhabsatz"
"япо́нец","Japaner"
"фрукт","Frucht, Früchtchen; Obst"
"че́ртовый","teuflisch, Teufels-"
"равноду́шно","gleichgültig"
"инициати́ва","Initiative, Begehren"
"опуска́ться","sinken, niedergehen, herunterkommen, sich senken, sich niederlassen"
"бу́ркнуть","knurren, brummen, ; murmeln"
"забира́ть","mitnehmen, abholen; wegnehmen, nehmen, herausnehmen, entnehmen, kürzer machen; verhaften, beschlagnahmen; abschwenken"
"го́рько","bitter, bitterlich"
"сцена́рий","Szenarium; Drehbuch, Script"
"целико́м","gänzlich, komplett, total, ganz, vollständig, voll und ganz"
"ми́лость","Gunst, Gewogenheit; Gnade, Erbarmen"
"вселе́нная","Weltall, Universum"
"пусты́нный","wüst, Wüsten-; öde, unbewohnt, menschenleer"
"пу́стынный","Eremitagen-; Kloster-"
"досту́пный","zugänglich, erreichbar; erschwinglich; verfügbar"
"нра́вственный","moralisch, ; sittlich"
"поручи́ть","beauftragen, auftragen, zuweisen, zuteilen; anvertrauen, "
"купа́ться","baden"
"крупне́йший","größte; bedeutendste"
"привлека́ть","anziehen, reizen, anlocken, imponieren; heranziehen, hinzuziehen"
"сочиня́ть","erfinden, erdichten, flunkern, aufschneiden; dichten, komponieren; verfassen, abfassen"
"своди́ть","hinabführen, herunterführen; zusammenführen, zusammenbringen; sich zusammenziehen, sich zusammenkrampfen; reduzieren, entfernen"
"беспла́тно","gratis"
"моли́ться","beten; anbeten, vergöttern"
"официа́нт","Kellner, Ober"
"голо́вка","Kopf"
"продаве́ц","Verkäufer"
"гита́ра","Gitarre"
"тро́йка","Troika, Dreiergespann, Trio, Dreiergruppe; Dreier"
"напи́ться","sich betrinken, sich volllaufen lassen, sich zuschütten; seinen Durst stillen, seinen Durst löschen"
"незави́симый","unabhängig; selbständig"
"доса́да","Ärger, Missmut, Verdruss, Verärgerung; Unmut"
"увести́","wegführen, fortführen, abführen; mitgehen lassen, klauen, mitnehmen, wegnehmen; ausspannen"
"просто́р","Raum, Weite; Freiraum, Spielraum"
"театра́льный","theatralisch; Theater-"
"вы́ключить","ausschalten, abstellen, ausmachen, abdrehen"
"та́нковый","Panzer-, Tank-"
"би́тва","Schlacht"
"ми́рно","friedlich"
"добива́ться","erreichen; erstreben, streben nach, zu erlangen suchen"
"вздра́гивать","zucken, zusammenzucken, zusammenfahren; aufschrecken, auffahren"
"утвержде́ние","Behauptung, Aussage; Bestätigung, Genehmigung, Sanktionierung, Verabschiedung"
"стратеги́ческий","strategisch"
"выделя́ться","sich hervortun, herausstechen, sich abheben, sich hervorheben, sich auszeichnen; sich absondern, hervortreten"
"оча́г","Herd, Feuerstelle; Herd, Zentrum"
"энерги́чный","energisch, tatkräftig"
"обходи́ть","herumgehen, durchstreifen; vermeiden, umgehen, ausweichen; überholen, vorbeigehen, den Rang ablaufen"
"не́рвно","nervös"
"применя́ться","angewendet werden, Anwendung finden, Verwendung finden; eingesetzt werden, zum Einsatz kommen"
"копы́то","Huf"
"чистота́","Sauberkeit, Reinlichkeit; Reinheit, Keuschheit"
"информацио́нный","Informations-"
"бульва́р","Boulevard"
"ора́нжевый","orange, orangefarben, orangefarbig"
"интеллиге́нт","Intellektueller"
"мета́ться","sich hin- und herwerfen, sich wälzen; herumirren, hin und her rennen; schwanken"
"утра́тить","verlieren, einbüßen"
"драко́н","Drache"
"матёрый","erfahren, eingefleischt, mit allen Wassern gewaschen, ausgekocht, hartgesotten; ausgewachsen"
"мэр","Bürgermeister"
"пило́т","Pilot, Flugzeugführer"
"поднести́","herantragen, heranbringen, heranführen, heranschaffen; anbieten, überreichen"
"за́говор","Verschwörung, Komplott"
"за́говор","Beschwörung, Zauber, Magie, schwarze Magie"
"кол","der Pfahl"
"шлем","Helm"
"сложённый","gebaut, proportioniert"
"оку́рок","Zigarettenstummel, Zigarrenstummel, Kippe"
"кры́са","Ratte"
"вой","Geheul, Heulen"
"госпожа́","Frau, Fräulein"
"повора́чивать","abbiegen, wenden, umdrehen; zur Seite drehen, schwenken"
"объясня́ться","sich verständigen; sich erklären, sich aussprechen"
"приоткры́ть","ein wenig öffnen"
"пропуска́ть","durchlassen, vorbeilassen, eintreten lassen; vorübergehen lassen, versäumen, verpassen; auslassen, überspringen, übersehen, weglassen"
"здорове́нный","kerngesund, kraftstrotzend; baumstark, mächtig, riesig, riesiggroß, Riesen-"
"отте́нок","Farbton, Tönung, Farbstich; Schattierung, Nuance"
"обречённый","verdammt, verurteilt"
"прави́тель","Regent, Herrscher; Verwalter, Vorsteher, Leiter"
"весло́","Ruder"
"уника́льный","einzigartig, Einzel-, als Unikat"
"кишка́","Darm"
"бу́ря","Sturm; Unwetter"
"прокурату́ра","Staatsanwaltschaft"
"сни́мок","Aufnahme, Foto, Bild"
"арме́йский","Armee-"
"реаги́ровать","reagieren"
"удержа́ть","halten, festhalten; zurückhalten, unterdrücken; zurückbehalten, behalten, abziehen"
"пробежа́ть","durchlaufen, vorbeilaufen; überfliegen, hinwegeilen"
"негодя́й","Taugenichts, Nichtsnutz, Halunke, Schuft, Lump"
"про́за","Prosa"
"терпе́ние","Geduld"
"предназна́чить","vorherbestimmen, vorbestimmen, prädisponieren, vorsehen (für), bestimmen, benennen"
"отча́янно","verzweifelt, tollkühn, verwegen, waghalsig; hoffnungslos, "
"призыва́ть","aufrufen, rufen nach, auffordern; einberufen"
"ни́зко","niedrig, tief; gemein, niederträchtig"
"схвати́ться","greifen, sich festhalten, klammern; handgreiflich werden, packen, anfassen; sich stürzen auf, etw. mit Eifer anfangen; vermissen, sich entsinnen; hochspringen, hochschrecken"
"райо́нный","Kreis-, Bezirks-, Stadtbezirks-; bezirklich, regional"
"склони́ться","sich neigen, sich verneigen, sich niederbeugen; neigen, tendieren, sich entschließen; sich beugen"
"терпели́во","geduldig"
"проше́дший","vergangen, vorig"
"ку́зов","Karosserie, Wagenkasten; Ladefläche"
"вне́шность","Ausehen, Erscheinung, Anschein; Exterieur, Außenseite, das Äußere"
"потре́боваться","erforderlich sein, nötig sein, verlangt werden"
"вдали́","in der Ferne"
"строчо́к","Giftlorchel, Bischofsmütze"
"дипло́м","Diplom"
"интеллиге́нтный","intelligent, gebildet"
"сму́тный","undeutlich, vage verworren; unruhig, wirr, aufrührerisch"
"почита́ть","lesen; ehren, anerkennen"
"обма́нывать","betrügen, täuschen, hintergehen, belügen"
"забра́ться","eindringen, sich einschleichen, hineinkriechen; hineinsteigen, hinaufsteigen, hineinklettern, hinaufklettern; erreichen, an einen Ort gelangen"
"по́рция","Portion"
"слу́шаться","gehorchen, hören auf"
"витри́на","Vitrine; Schaufenster, Auslage, Schaukasten"
"мате́рия","Materie; Stoff"
"прова́л","Scheitern, Durchfallen, Reinfall, Mißerfolg, Fiasko; Einsturzstelle"
"нахму́риться","finster dreinschauen, Stirn runzeln, Augenbrauen hochziehen; sich verfinstern"
"бессме́ртный","unsterblich"
"ску́чный","langweilig, fade, öde, trist; gelangweilt, missgestimmt"
"похо́дка","Gang, Gangart"
"тра́вма","Trauma; Verletzung"
"свя́зывать","binden, zusammenbinden; verbinden, verknüpfen"
"любова́ться","bewundern, sich weiden an, bestaunen"
"отраже́ние","Widerspiegelung, Reflexion, Widerhall, Spiegelbild, Abbild; Abwehr, Gegenwehr, Parieren"
