"козёл","male-goat, billy-goat; Asshole"
"п́ольский","Polish"
"один́очка","loner; by yourself"
"оп́исывать","describe, depict, portray, inventory, distrain, circumscribe"
"заќонный","legal"
"уќаз","decree, edict, ukase"
"спр́ятаться","to hide oneself"
"улов́ить","to catch on; to pick up"
"ф́инский","Finnish"
"огр́ада","fence"
"ступ́ень","step; stage"
"зл́оба","spite/malice; anger/bitterness"
"скамь́я","bench"
"смесь","mixture, blend, medley"
"в́едать","know (archaic or poetic); govern, manage, control (literary)"
"неплох́ой","not bad, quite good"
"управл́ять","control; operate, run; govern"
"кран","tap / faucet, stop-cock; crane"
"пож́арный","fire, related to fire"
"погл́адить","to iron, to press; to stroke, to caress, to pet"
"смерт́ельный","lethal, fatal, mortal, deadly"
"лен́иво","lazily, idly"
"откр́ыто","open, opened, openly, plainly"
"ежедн́евно","Daily, every day, on a daily basis"
"усп́ешно","successfully, well"
"ж́идкий","liquid, fluid; thin (watery, weak); sparse, scanty"
"успоќаивать","calm, quiet, soothe, assuage, appease, reassure"
"сует́а","bustle, bustling; fuss; vanity"
"зр́елище","spectacle, show, performance, pageant, street theatre"
"возмут́иться","be outraged"
"обш́ирный","extensive or vast"
"уч́ебник","textbook, manual, primer"
"пов́иснуть","hang"
"потих́оньку","quickly slowly and secretly (adv), little by little, gradually."
"противор́ечие","contradiction"
"в́ыстрелить","shoot, fire"
"ресн́ица","eyelash"
"изумл́ение","amazement, wonder, consternation"
"п́олно","fully; brim-full, full to the brim"
"пр́истально","carefully, intently, fixedly"
"крут́ить","twist, twirl, roll up, turn, whirl, have on a string, go out, have an affair"
"башќа","noggin, head"
"свящ́енник","priest, clergyman (linh mục)"
"серд́ечный","heart"
"переспрос́ить","to ask again, question"
"подтвержд́ать","confirm, corroborate"
"поб́ег","escape, flight; sprout, shoot, sucker, set, graft"
"прив́етствовать","To greet; To meet"
"опир́аться","lean, rest, be guided"
"дуб","oak"
"б́урный","stormy"
"сжим́ать","squeeze; compress; crush"
"протяж́ение","span, length, duration, extent, throughout, course, stretch"
"подмигн́уть","wink, give a wink"
"шт́урман","navigator, mate"
"п́охороны","funeral"
"плев́ать","spit, expectorate; don’t care, shrug off"
"нал́оговый","tax"
"х́ата","hut (home - slang)"
"мр́ачно","grim, dark, bleak"
"сб́оку","from one side, on one side, at the side"
"нем́алый","sizeable, considerable"
"занест́и","to bring to someone in passing; to bring in or to; to cover"
"мм",""
"кр́охотный","very small or tiny"
"фил́ософ","philosopher"
"с́онный","sleepy, sleep, drowsy, slumberous, sleeping, soporific"
"заб́отиться","take care"
"двадц́атый","twentieth"
"шепн́уть","whisper"
"невозм́ожный","impossible, insufferable, the impossible, impossible thing"
"уцел́еть","to survive/be preserved intact"
"помер́еть","die"
"т́аять","melt"
"под́и","I should not wonder, I dare say, just try; go! leave!"
"располож́ение","disposition toward; location layout or arrangement"
"разработ́ать","to develop or design"
"м́одный","fashionable, stylish"
"отбр́осить","to cast off throw off cast away, hurl back, throw back, thrust back, give up, reject, discard; throw to the side"
"швырн́уть","fling, hurl, toss"
"прир́одный","natural"
"ребят́ишки","children, kids, the chicks"
"пл́енный","captive; prisoner"
"эпиз́од","episode"
"офици́ально","officially"
"упуст́ить","to miss (a chance), overlook; let go, let slip"
"прижим́ать","to press/squeeze to"
"зн́амя","banner"
"расст́авить","arrange, place, move apart, let out"
"яд","poison, toxin, toxic substance, venom"
"сук","bough, knot"
"с́ухо","dryly"
"пол́оска","(diminutive) полоса"
"заруб́ежный","foreign and abroad"
"сохран́ять","to keep; to preserve, to conserve; to save (computing)"
"обм́ан","deception; deceit, fraud; trick"
"стон́ать","moan, groan, suffer, languish"
"вооруж́ение","arming, armament, arms, equipment, requisites"
"кап́уста","cabbage"
"бер́ечь","to protect/take care; save"
"звен́еть","ring, clink, jingle"
"аппет́ит","appetite, relish"
"нуль","nought"
"группир́овка","grouping, classification, group, alignment, force, gang; constellation"
"проигр́ать","to lose, be defeated"
"партиз́ан","partisan, guerilla"
"дуть","blow; blow glass (transitive) (выдуть); do something with passion; drink alot of something (выдуть)"
"заќат","sunset"
"троп́инка","path, small path (for pedestrians)"
"вест́ись","to be carried out; to be in progress, to be underway; to give in, to yield, to succumb"
"рев́еть","to roar (as animals do)"
"справедл́ивый","fair (adj)"
"самосто́ятельный","independent, self-sufficient, self-dependent"
"д́еться","(colloquial) to disappear, to vanish, to get lost; (colloquial) to hide, to escape, to get away"
"чепух́а","nonsense"
"ист́орик","historian"
"хоз́яйственный","economic (relating to the economy); household; thrifty, economical; practical (streetsmart)"
"удовлетвор́ение","satisfaction, contentment"
"презр́ительный","contemptuous (adj)"
"разнообр́азный","diverse; various"
"дерьм́о","shit, crap; shithead"
"специ́альность","specialty/profession/industry"
"кабл́ук","heel"
"яп́онец","Japanese, the Japanese"
"фрукт","fruit"
"ч́ертовый","devilish, hellish, darn"
"равнод́ушно","with indifference, indifferently"
"инициат́ива","initiative"
"опусќаться","fall/go down; omitted"
"б́уркнуть","to mumble, bark out"
"забир́ать","take away, to seize, to collect, to take possession of; pick someone up and take away"
"ѓорько","bitterly"
"сцен́арий","script, screenplay; scenario"
"целиќом","wholly, entirely, in full; completely, totally"
"м́илость","mercy"
"всел́енная","universe"
"пуст́ынный","desert, uninhabited, deserted"
"п́устынный","deserted, uninhabited"
"дост́упный","available; accessible"
"нр́авственный","moral (adj)"
"поруч́ить","to assign, to instruct"
"куп́аться","to bathe, go swimming"
"крупн́ейший","largest, biggest, greatest; most significant, major, supreme"
"привлеќать","to attract, to draw (arouse interest)"
"сочин́ять","write or compose (poems etc)"
"свод́ить","to lead, to take; reduce; to remove; to trace (a picture); сводить лицо"
"беспл́атно","free of charge, gratis"
"мол́иться","pray"
"офици́ант","waiter"
"гол́овка","leadership, heads, big shots, head, vamp; little head"
"продав́ец","seller, vendor, salesman, shop assistant, cashier"
"гит́ара","guitar"
"тр́ойка","troika / trio, alliance of three, three people working together, three-piece-suit; number three; grade of three; three (in card games)"
"нап́иться","to get drunk"
"незав́исимый","independent"
"дос́ада","annoyance"
"увест́и","take away, lead away, walk off, withdraw, carry off, lift"
"прост́ор","spaciousness, space, scope, vastness, elbow-room"
"театр́альный","theater adj"
"в́ыключить","turn off, switch off, cut off, exclude"
"т́анковый","tank, armoured"
"б́итва","battle"
"м́ирно","peacefully, in harmony"
"добив́аться","to achieve; to get"
"вздр́агивать","Flinch"
"утвержд́ение","claim statement or assertion"
"стратеѓический","strategic"
"выдел́яться","to stand out/ to  be outstanding; allocate; stick out; to release"
"оч́аг","hearth, home, hotbed, seat, breeding ground, nidus"
"энерѓичный","energetic"
"обход́ить","go around, travel around, get around; evade, circumvent"
"н́ервно","nervously"
"примен́яться","(be) employed, applied, used"
"коп́ыто","hoof"
"чистот́а","cleanness"
"информаци́онный","informational"
"бульв́ар","avenue, boulevard"
"ор́анжевый","orange"
"интеллиѓент","intellectual"
"мет́аться","rush about, toss; flounce"
"утр́атить","lose"
"драќон","dragon"
"матёрый","hardened, inveterate"
"мэр","mayor"
"пил́от","pilot"
"поднест́и","to raise up; to hold up"
"з́аговор","conspiracy, plot, charm, exorcism"
"з́аговор","plot, conspiracy, charm, exorcism"
"кол","stake, picket, one; cola, coke, Coca Cola"
"шлем","helmet"
"сложённый","well-built, well-proportioned"
"оќурок","cigarette-end, cigarette-butt, cigar-butt"
"кр́ыса","rat"
"вой","howl howling"
"госпож́а","lady, Miss, Madame, Mademoiselle, Signora, Signorina, Frau, Fraulein, mistress"
"повор́ачивать","turn, swing, change"
"объясн́яться","explain, be explained, be accounted for, have a talk, have it out, speak"
"приоткр́ыть","to open slightly, to set ajar"
"пропусќать","miss (out); let pass, let go past, make way, let through, let in; skip, omit, leave out"
"здоров́енный","brawny very strong big robust muscular huge enormous"
"отт́енок","shade, tint, nuance"
"обречённый","doomed, bound"
"прав́итель","ruler, leader; director, manager"
"весл́о","oar, scull, paddle"
"униќальный","unique"
"кишќа","intestine/guts, hose"
"б́уря","tempest, gale, storm"
"прокурат́ура","Office of Public Prosecutor"
"сн́имок","photo, image, scan"
"арм́ейский","army"
"реаѓировать","react, respond"
"удерж́ать","to hold (keep from falling); to restrain a movement (hold back)"
"пробеж́ать","pass, run by, run through, run along, run, cover, skim, scan, run about, miss with all running about"
"негод́яй","scoundrel, villain"
"пр́оза","prose"
"терп́ение","patience, endurance, forbearance, perseverance"
"предназн́ачить","to be meant for"
"отч́аянно","desperately, awfully"
"призыв́ать","call upon"
"н́изко","low, basely, meanly, despicably"
"схват́иться","to grab/grasp at (за кого-что); to engage in a battle; (colloquial)suddenly remember or to come to senses; (simple) Get up and jump up with a quick movement; (simple) hastily or suddenly start something; to set or harden (about binder/sticky substance/cement)"
"рай́онный","district, area"
"склон́иться","incline, bend, be inclined, yield, decline, be declined"
"терпел́иво","patiently, with patience"
"прош́едший","past already occured"
"ќузов","body, bodywork, basket, van"
"вн́ешность","appearance; The outer visible part of something"
"потр́ебоваться","to be needed; to be required"
"вдал́и","in the distance, at a distance, far off"
"строч́ок","(hooded) false morel"
"дипл́ом","diploma, certificate of degree, award, prize"
"интеллиѓентный","intelligent cultured educated intellectual"
"см́утный","vague; turmoil"
"почит́ать","read (for a while); honour, respect, esteem, revere, hold sacred, consider, think"
"обм́анывать","deceive"
"забр́аться","climb or get into or onto"
"п́орция","portion, helping"
"сл́ушаться","to obey, listen to, take advice"
"витр́ина","display-case, show-case, glass case"
"мат́ерия","matter, substance, pus, material, cloth, fabric, stuff"
"пров́ал","failure; hole, depression (space)"
"нахм́уриться","to frown"
"бессм́ертный","immortal"
"сќучный","boring (boring)"
"пох́одка","gait; Manner of walking"
"тр́авма","injury/ trauma"
"св́язывать","connect"
"любов́аться","to admire/marvel at"
"отраж́ение","reflection"
"гл́ухо","deafly; dully, vaguely, in a muffled way (sound); out-of-the-way, remotely (place)"
"л́опнуть","to burst; to pop"
"т́яжкий","heavy, difficult; То же что тяжёлый (adj)"
"п́усто","be empty"
"оборв́ать","to tear off or pluck (in stages and all around); to cut off the flow of something (conversation etc)"
"поперёк","across"
"гл́адить","to iron; to pet"
"бак","tank, reservoir, clothes-boiler, mess-dish, mess, forecastle, foredeck, bin"
"освобод́иться","to free oneself (from); to get free, to break free; to get free time, to become free"
"поползт́и","to crawl"
"в́осемьдесят","eighty"
"м́етод","method"
"бесш́умно","quietly, silently, noiselessly"
"мяч","ball"
"н́ищий","beggarly/extremely poor (adj)"
"скрип́еть","to squeak"
"тр́асса","line, road, direction, route; plan, draft"
"вплоть","right up to"
"отвезт́и","to accompany; to drive someone/something away"
"грамм","gramme, gram"
"торжеств́о","celebration, fete; festivitiy, festival, ceremony; triumph, exultation, victory"
"св́ойственный","characteristic"
"пресл́едовать","pursue"
"ќупол","dome, big top, cupola"
"мрак","(bookish) darkness absence of light"
"подсказ́ать","Tell (how to do something)"
"хреб́ет","range"
"шестн́адцать","sixteen"
"обяз́ательный","required obligatory compulsory mandatory"
"проявл́яться","to become apparent; to manifest itself"
"идеол́огия","ideology"
"выда́ющийся","outstanding"
"изд́ать","publish or issue; let out or produce"
"узнав́ать","to recognize, recognise; to learn, to get to know, to find out"
"угрож́ать","to threaten (violence etc)"
"ребр́о","rib, edge, verge"
"ком́андующий","commander"
"повс́юду","everywhere, far and wide"
"зал́езть","climb, steal, get, penetrate"
"рел́игия","religion"
"б́атюшка","(outdated) father"
"разм́ахивать","to swing something"
"преодол́еть","to overcome, get over"
"основ́ать","found, base; to establish"
"улет́еть","fly, vanish, pass"
"пар́адный","main, front door, gala, for show"
"упир́аться","to rest (against), to set (against); to jib, to balk, to refuse; to be hampered, to be held back, to hinge (on)"
"артилл́ерия","artillery"
"труд́иться","to labor, to labour; to toil"
"поспеш́ить","hurry, make haste, hasten, be fast"
"пех́ота","infantry"
"поп","priest, pin, pope"
"вылез́ать","come out, climb out, scramble out, crawl out, get out, alight, fall out"
"урон́ить","drop, let fall, shed, moult"
"побед́итель","winner"
"вод́иться","is associated with; to be found, to live, to be"
"в́ыглянуть","look out, peep out, emerge"
"́эмоциональный","emotional"
"уговор́ить","persuade, talk into, convince"
"спр́ыгнуть","to spring from; to jump from"
"платф́орма","platform, goods truck, flatcar"
"матч","match"
"рж́авый","rusty"
"эм́оция","emotion"
"др́ужно","in a friendly manner, in friendly fashion, amicably, simultaneously, together, rapidly"
"пац́ан","boy, lad"
"воров́ать","steal"
"убежд́ение","Conviction/Belief"
"оконч́ательный","definitive and final"
"обр́ыв","a steep cliff"
"плёнка","film (physical substance); pellicle"
"изнутр́и","from within, on the inside"
"пос́адка","landing (plane); boarding (trains, planes)"
"невынос́имый","intolerable, unbearable, unsufferable"
"блокн́от","notebook, note-book, note pad, writing-pad"
"разб́ойник","robber"
"откл́икнуться","respond, comment"
"обит́атель","inhabitant, resident"
"расход́иться","to diverge"
"чёткий","clear"
"сверќающий","glittering, sparkling, shining"
"мот́ив","tune; motif; motive, cause, reason"
"сооруж́ение","structure"
"один́аково","in the same way"
"уничтож́ение","destruction"
"п́олость","cavity (space within something)"
"наскв́озь","through, throughout"
"расспр́ашивать","to ask or question"
"удал́иться","To retire"
"́уличный","street"
"вывод́ить","take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch"
"в́ыводить","take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch"
"рассл́едование","investigation"
"н́итка","thread, string, yarn; line; skin"
"подав́ить","suppress, trample, squeeze"
"сопротивл́яться","to resist"
"млад́енец","baby, infant"
"подчин́яться","to submit/to obey"
"посто́ять","stand"
"рез́иновый","rubber"
"фиѓурка","statuette, figurine, porcelain-figure"
"тр́езвый","Sober"
"образ́ованный","educated; derived or formed"
"пом́орщиться","to wince, to make a face; to pucker"
"драгоц́енный","precious"
"игр́ок","player"
"коз́а","goat, she-goat, nanny-goat"
"поисќать","to look for, search, seek"
"интон́ация","intonation"
"кач́аться","to swing, reel, stagger, sway"
"пор́ода","breed"
"л́озунг","slogan, catchword, watchword"
"уступ́ать","to concede/give up/give way"
"профессион́ал","professional"
"сотр́удничество","cooperation"
"темп","rate, speed, pace, time, tempo"
"обещ́ание","promise"
"презир́ать","to despise"
"перев́одчик","translator, interpreter, change-lever"
"занав́еска","curtain, lace curtain"
"ж́адно","greedily"
"соглаш́ение","agreement, understanding, covenant"
"дав́ить","pressure, lie heavy, crush, squeeze"
"печ́аль","grief or sorrow"
"тюр́емный","prison"
"нев́ажно","it is unimportant, never mind, not very well, poorly, indifferently"
"в́ырезать","cut out, excise, engrave, carve, slaughter, massacre, butcher"
"вырез́ать","cut out, excise, engrave, carve, slaughter, massacre, butcher"
"зн́ающий","learned, scholarly, erudite, skilful, competent, able"
"в́ыпуск","graduation: release; episode"
"незнаќомец","stranger"
"гром","thunder"
"уќазанный","indicated; stated"
"формиров́ание","forming, unit, formation"
"недост́аточно","it is insufficient, it is not enough, insufficiently"
"изд́елие","product"
"казнь","execution, capital punishment, torture"
"м́естность","locality, district, area"
"невр́оз","neurosis"
"прощ́ение","forgiveness, pardon, absolution"
"подчёркивать","underline; stress"
"зап́еть","begin to sing"
"поќачиваться","rock, sway; shake, jiggle, waggle"
"кр́ошечный","very tiny"
"вис́ок","temple"
"б́анда","gang"
"х́охот","laughter"
"рассужд́ение","Reasoning"
"избеж́ать","to escape, to run from"
"транш́ея","trench"
"подбеж́ать","to run up, run up on, come running up"
"выт́аскивать","take out, drag out, pull out, extract, fish out, steal, pinch"
"отврат́ительный","disgusting"
"круж́иться","whirl spin go round in circles; be dizzy"
"холл","hall"
"ѓордо","proudly"
"ч́истить","to clean or brush; to peel"
"мунд́ир","uniform; coat; jacket"
"гол́убчик","my dear fellow, my friend, my lad"
"запуст́ить","launch, lanzamiento; neglect, descuido, allow to deteriorate, let slide"
"не́ясный","vague"
"уп́орно","persistently, hard, stubbornly, doggedly, obstinately"
"ќукла","doll"
"бессм́ысленный","senseless, nonsensical, insensate, meaningless, unmeaning, foolish, inane, silly"
"впр́аво","to the right"
"констр́укция","construction, design, structure"
"на́ивный","naive"
"печ́атать","to type; print"
"в́ыложить","to lay out; to put up money; to post online"
"скл́адываться","to fold; to take shape; to work out/be succesful"
"распростран́ить","spread, diffuse, disseminate, propagate, popularize"
"капитал́изм","capitalism"
"произв́одственный","production; manufacture"
"в́еко","eyelid"
"корпор́ация","corporation"
"тьфу","Aargh!"
"т́ощий","skinny, emaciated, starved, ravaged, scraggy, skinny, empty, poor"
"теќущий","current, present-day, everyday; flowing; recurring (at a time)"
"поруч́ение","assignment; Errand"
"прот́ест","protest, remonstrance"
"бар́ан","ram; wild sheep; dummy"
"кл́ичка","nickname, moniker, name (of an animal); pseudonym / alias, conspiratorial name"
"поѓон","shoulder-strap; shoulder-board (mil.)"
"пот́омок","descendant, offspring, progeny"
"л́унный","lunar, moon"
"сд́ерживать","to hold in, keep back, restrain, hold in check, contain, deter, hold, keep in, suppress, check; to contain"
"толќать","push, shove, jog, push on, incite, instigate"
"басс́ейн","pool, basin; swimming pool"
"пребыв́ать","to be (at some place) remain or stay"
"п́опросту","simply, without ceremony"
"уд́ерживать","holding and not letting move; withhold or retain/suppress"
"пор́ядочный","upstanding orderly (adj)"
"ув́олить","to dismiss or fire"
"п́ечень","liver"
"мост́овый","(relational) bridge"
"под́аться","to move (under pressure); to yield, to give way; to make for, set out for"
"неприв́ычный","uncustomary; not used to"
"защ́итник","defender/protector"
"обесп́ечение","provision or support"
"потерп́еть","suffer, endure, stand, bear, put up with, tolerate, support; have patience"
"засл́уга","merit"
"отвращ́ение","repugnance/disgust"
"присл́ушаться","to listen to; heed or bear in mind"
"суд́ебный","judicial, legal, forensic"
"стро́итель","builder, construction worker"
"ось","axle / axis"
"уст́ало","tiredly"
"приобрет́ать","to acquire or gain"
"стон","moan, groan"
"пёстрый","covered with multi-colored spots stripes made up of something painted in different colors; heterogeneous in composition consisting of heterogeneous parts; ornate pretentious (about speech phrase etc)"
"земл́янка","dug-out, earth-house"
"спохват́иться","to remember suddenly"
"иде́альный","perfect"
"хир́ург","surgeon"
"равнод́ушный","indifferent"
"сексу́альный","sexual, sexy"
"устан́овленный","installed, established, fixed, prescribed"
"пригод́иться","be of use"
"мол́оденький","young"
"т́есно","tightly, narrowly, closely"
"рельс","rail, rails, metals"
"изуч́ение","study"
"приз́ыв","call (for), appeal; call-up (conscription), selection, draft"
"всп́ыхивать","blaze up, take fire, break out, flash, flare up, blush, flush"
"объедин́ить","combine or unite"
"быт","daily life"
"рожд́аться","be born, occur, come, arise, spring up, thrive, flourish"
"отдалённый","remote, distant"
"сорт","sort, kind, variety, brand; grade, quality, "
"пласт́инка","Record"
"бр́юхо","belly, paunch, corporation"
"впр́авду","really, really and truly"
"сто́янка","parking, moorage, station, post, stopping place, parking place, parking lot, sit, stand, stop, mooring"
"правл́ение","governing, government, board of administration, board"
"п́адаль","carrion, cadaver, decaying flesh; vile person, objectionable person; windfall"
"исп́уг","fright or the strong emotional reaction from something terrible"
"увел́ичить","increase, enlarge, extend, augment, magnify; zoom"
"брит́анский","British"
"б́удка","dog house; booth"
"постановл́ение","resolution decision decree enactment"
"Рим","Rome"
"опусќать","to lower/put down"
"издалёка","from far away, from afar"
"жил́ец","tenant"
"обсужд́ение","discussion"
"д́орого","expensive (adverb); dear, dearly"
"зар́я","dawn; от зари до зари - all day; ни свет ни заря - very early"
"разраб́отка","development design; cultivation, working, exploitation, mine workings, underground mines, elaboration"
"отправл́ять","send"
"ќасса","checkout, till; ticket window, box office; cash; bank, fund; cash register; case (polygraphy)"
"уступ́ить","to concede/give up/give way"
"впрямь","really, indeed"
"кип́еть","to boil, to boil over, to seethe, to rage; to be in full swing (in terms of action)"
"ц́арство","kingdom, ; realm, reign, "
"попл́ыть","start swimming; Sail"
"ворв́аться","to storm into"
"нич́уть","(colloquial) not at all"
"создав́аться","be created"
"табл́етка","tablet, pill"
"излож́ить","state/set out/to expound/express something in words/written/oral"
"сейф","safe"
"нагр́узка","load, loading"
"горож́анин","townsman, town-dweller, city-dweller, townsperson"
"ѓоречь","bitterness; bitter taste, "
"р́имский","Roman"
"пейз́аж","scenery, landscape"
"посет́ить","visit"
"студ́енческий","student, student's"
"почётный","honourable, honorary"
"ш́умно","noisily"
"секрет́арша","secretary (female)"
"толч́ок","a push"
"замёрзнуть","to freeze"
"визг","squeal, screech"
"прохл́адный","cool"
"́атомный","atomic"
"сущ́ественный","significant"
"дым́иться","smoke, steam"
"соедин́ение","joining; compound; connection"
"заявл́ять","declare, claim, announce, propose"
"млрд","billion"
"различ́ать","to distinguish, to discern, to make out"
"вним́ательный","attentive"
"с́емя","seed, semen, sperm"
"осёл","donkey, ass"
"дел́ить","divide; share"
"сл́изистый","mucous, mucilaginous, slimy"
"изуч́ить","study, learn, examine"
"похорон́ить","to bury, inter, hide, conceal, lay away"
"отриц́ательный","negative"
"багр́овый","crimson, purple"
"с́етка","net, netting, gauze, rack, butterfly-net, sweep-net, string-bag, graticule, grid, scale"
"л́ожный",""
"подраздел́ение","subdivision unit branch"
"контр́акт","contract, agreement"
"уст́ав","regulations, statutes, charter, service regulations, manual, ustav"
"равнов́есие","(science/bookish/technical) equilibrium/balance"
"том","volume (of a book, magazine or disk)"
"пруд","pond, estanque"
"плоть","flesh"
"употребл́ять","to use; to consume"
"дым́ок","puff of smoke"
"снисход́ительный","lenient; condescending"
"самоуб́ийство","suicide, self-murder"
"пос́ол","ambassador, salting"
"пров́инция","province, the provinces"
"грань","facet, side; border, verge, brink (figuratively)"
"поздор́оваться","say how do you do, greet, hail, say hi to"
"публиќация","publication(ấn phẩm), advertisement"
"ш́умный","noisy"
"ком́ар","mosquito"
"куп́ец","merchant"
"́офис","office"
"ф́окус","trick, double-dealing, trickery, whim, freak; focus"
"в́ыкинуть","discard, chuck out, have a miscarriage, miscarry, slip"
"разр́яд","category; discharge; The degree of qualification in a certain person"
"гон́ять","drive, drive away, make run errands, send on errands; chase, pursue"
"тр́ещина","crack, split, cleft, fissure, rift"
"быти́е","being"
"Кавќаз","Caucasus"
"из́ящный","Refined; Delicate"
"кастр́юля","cooking pot, pot"
"нагн́уться","to bend over"
"м́удрость","wisdom"
"в́едомство","department"
"тр́онуться","to get moving, to be off; (colloquial) to go nuts"
"з́аросль","overgrowth; thicket"
"щен́ок","puppy"
"табл́ица","table (grid of data)"
"людсќой","human (adj)"
"вплотн́ую","very tightly close cramped (adv); very seriously"
"содерж́аться","contain"
"сбеѓать","escape, run away, flee; run down"
"сб́егать","run and get back, quickly go and get"
"презр́ение","contempt disdain"
"болт́аться","hang out, hang about, lounge, loaf; dangle"
"пошут́ить","to joke"
"твор́ить","to create (in process of creation); to do or work"
"гусь","goose"
"крас́авец","handsome man, Adonis"
"делеѓация","delegation"
"в́ыраженный","expressed"
"подр́обный","detailed, minute"
"чуд́ак","crank, eccentric, oddity, queer fish"
"повтор́яться","repeat"
"д́оза","dose, draught"
"взлет́еть","fly up, take wing, flush; take off (flying)"
"эксп́ерт","expert"
"сантим́етр","centimetre, tape-measure, tape-line"
"убир́ать","tidy, clean up, decorate, adorn; take away, remove; harvest; put away"
"триб́уна","platform, rostrum, tribune, stand"
"застр́ять","to be stuck, get stuck"
"делов́итый","efficient, business-like"
"нап́асть","to attack"
"ветер́ок","breeze"
"констр́уктор","designer, constructor, meccano"
"пляс́ать","to dance (hop/waltz around), to hop"
"в́ыразиться","express oneself"
"акт́ивно","actively"
"вл́ево","to the left"
"стоп","stop"
"П́итер","Piter (Saint Petersburg); Peter"
"лиш́ить","deprive rob of, bereave"
"н́евский","(relational) Neva, Nevsky"
"сќатерть","table-cloth"
"скуч́ать","to be bored; To miss (so./sth.)"
"боков́ой","side lateral (adj)"
"оп́омниться","come to your senses"
"́обувь","shoes"
"пробир́аться","to make way through something"
"прис́утствующий","present/attendee"
"тел́ега","A four-wheeled cart with a low body and a shaft or drawbar team for transporting someone; complaint a slander a denunciation; hard thankless work; a song in the hip-hop genre Rap verses"
"областн́ой","provincial, regional"
"вал","shaft, Высокая волна"
"прорв́аться","to break through; to penetrate"
"наткн́уться","to stumble across"
"дневн́ой","day, daily"
"скл́онный","prone or tend to"
"п́очка","bud, leaf-bud, burgeon, gemma; kidney"
"́око","eye"
"ёлка","(small) spruce, spruce tree; Christmas tree; jolka festival (on 31 Dec.)"
"офиц́ерский","officer"
"свал́ить","to throw down or bring down; to blame; to overcome/overthrow; to dump; to leave or get out"
"скаќать","jump; gallop"
"прибеж́ать","to resort to, have recourse, fall back; come running"
"паров́оз","chimney, engine, steam locomotive, railway engine"
"умол́ять","to beg"
"змей","serpent, dragon, snake; kite"
"рван́уться","to jerk (reflexive); to explode; to take off"
"проглот́ить","swallow"
"вруч́ить","to hand to"
"скольз́ить","slide, slip; glide; float"
"па","pas, step"
"неизб́ежный","inevitable"
"мел́одия","melody, tune"
"дав́аться","to come to you, surrender, how is going something"
"ур́а","hurrah"
"перенос́ить","carry across, bear; endure or stand; transfer"
"расстр́ойство","disorder"
"объект́ивный","objective; unbiased, impartial"
"пр́озвище","nickname, sobriquet"
"номенклат́ура","nomenclature"
"отстав́ать","to lag or fall behind"
"барь́ер","barrier, bar, hurdle"
"премь́ер","prime minister, premier, leading actor, leading man, star actor, lead"
"плаќат","poster"
"вр́едный","harmful"
"т́оня","fishery, fishing ground, haul"
"в́ытянуться","to stretch; to stand erect"
"снар́ужи","outside"
"бос́ой","barefooted, bare"
"санит́ар","hospital attendant, medical orderly; paramedic, hospital corpsman"
"ор́ех","a nut"
"об́очина","side of the road, roadside, curb"
"райќом","district committee"
"см́ело","boldly, bravely, fearlessly"
"кат́аться","ride; skate"
"превыш́ать","exceed"
"убеѓать","run away; boil over"
"сопровожд́аться","be accompanied"
"угод́ить","fall, get, bang, bump, hit; to please"
"расстр́ел","execution"
"распоряд́иться","to dispose; order"
"задр́ать","to maul, lift up"
"навест́ить","to visit"
"огур́ец","cucumber"
"пере́ехать","run over, knock down; move (to a particular location)"
"отмен́ить","cancel"
"отмеч́аться","to be observed/to be recognized"
"уд́обно","it is convenient, it suits, it is proper, comfortably"
"в́оинский","military, martial"
"самосто́ятельно","independently, without assistance"
"зараст́и","be become overgrown"
"мор́оженый","frozen, chilled"
"усм́ешка","grin/smirk"
"вал́юта","currency"
"т́уго","tight, with difficulty, slowly"
"переглян́уться","exchange glances"
"прав́ительственный","governmental, government"
"определ́яться","to be defined/to be determined"
"вер́анда","veranda"
"обл́омок","fragment, debris, wreckage, flotsam"
"рассерд́иться","get angry, get mad"
"ќурица","hen, chicken"
"прид́ать","give to/attribute (к чему)"
"п́ена","foam, spume, scum, froth, suds, lather"
"пред́атель","traitor"
"кресть́янский","peasantish"
"пож́ить","live, stay, have seen life, to live for a while"
"зв́онкий","ringing, clear, resonant, voiced"
"прониќать","penetrate; break in; get in"
"дост́аточный","enough"
"в́ысунуться","lean out or stick out"
"д́ырка","small hole"
"факульт́ет","faculty, department"
"троп́а","path, trail"
"ручн́ой","hand; manual / handmade; tame, domesticated"
"п́аника","panic, scare"
"винов́ато","guiltily"
"связ́аться","to connect with; to contact"
"торѓовец","merchant, dealer, trader, tradesman"
"натян́уть","to stretch on"
"ш́арик","small ball; balloon; diminutive of шар"
"предч́увствие","hunch, presentiment, foreboding, misgiving, premonition"
"вопреќи","contrary to"
"фальш́ивый","false, spurious, forged, artificial, imitation, insincere"
"избеѓать","avoid"
"изб́егать","run about"
"копьё","spear, lance"
"перестр́ойка","rebuilding, reconstruction, reorientation, reorganization, re-tuning; extension to a building"
"од́еться","to wear clothes or to put on clothes"
"мол́очный","milk (adj)"
"введ́ение","introduction, preface"
"диплом́ат","diplomat, diplomatist"
